method,yaw_init_error_deg,trial,success,converged_2deg,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,cost,nfev,condition,tilt_yaw_coupling
uv_joint,60.0,2,True,True,0.01752538098867974,-0.01669248434078485,-0.006503600385420724,0.0031991150839086216,243.30563675202686,17,2.0834359342463564,0.09576426840722885
polar_plain_joint,60.0,2,True,True,0.1667261582551745,-0.04268252893121292,-0.032502286479804986,0.16776457045925577,482.72586956139384,16,2.079782730443422,0.0959223764011615
polar_cov_joint,60.0,2,True,True,0.012491764816431904,-0.012700163007345524,-0.0016311339676591083,0.0023546771061947525,221.29599707318636,12,2.084000853591919,0.09573485044342593
polar_staged,60.0,2,True,True,0.0124917468437568,-0.01270014602356519,-0.0016311226316056263,0.00235467426428327,221.2959970731912,28,2.084000855520921,0.09573485037298006
uv_joint,60.0,3,True,True,0.017525382444427244,-0.016692486093133715,-0.0065036001844828205,0.003199117499660763,243.30563675202671,16,2.0834359341491426,0.09576426841872807
polar_plain_joint,60.0,3,True,True,0.16672621986132818,-0.042682717242862586,-0.03250223583647527,0.16776463996272134,482.72586956237217,24,2.079782715143985,0.0959223761954841
polar_cov_joint,60.0,3,True,True,0.012491771818765852,-0.012700170324481917,-0.0016311335465075505,0.0023546780738912367,221.29599707318582,17,2.084000852992014,0.09573485041319206
polar_staged,60.0,3,True,True,0.012491746960462569,-0.012700146164990147,-0.0016311224727480521,0.002354674301543468,221.29599707319022,29,2.0840008556463734,0.09573485035997678
uv_joint,60.0,4,True,True,0.017525381155050885,-0.016692484415529476,-0.006503600564808779,0.00319911529594666,243.30563675202583,15,2.0834359340960247,0.09576426841030378
polar_plain_joint,60.0,4,True,True,0.16672610994869405,-0.04268253375320098,-0.032502341153700584,0.1677645081700325,482.7258695615699,23,2.0797827271762728,0.09592237674879663
polar_cov_joint,60.0,4,True,True,0.012491771235238175,-0.01270016982214988,-0.0016311332568305812,0.0023546779519614926,221.29599707318533,18,2.0840008529966503,0.09573485041680165
polar_staged,60.0,4,True,True,0.01249174701881545,-0.012700146165230278,-0.0016311225520440514,0.002354674383127876,221.29599707319042,32,2.084000855684327,0.0957348503590445
