method,yaw_init_error_deg,trial,success,converged,initial_rotation_error_deg,initial_translation_error_m,initial_depth_rel_rmse,stage_rotation_error_deg,rotation_error_deg,translation_error_m,tilt_error_deg,yaw_error_deg,depth_rel_rmse,depth_rel_median,inlier_depth_rel_rmse,inlier_depth_rel_median,cost,nfev
ba_polar_plain_joint,60.0,0,False,False,65.08623593962723,0.2800000000000001,0.8061622118430829,nan,65.08162405475524,0.28000402773373,23.999263944238127,59.998054352770964,2.9217385125486004,0.729894522902558,2.6214642321567463,0.7506783147579082,49883.913724522565,120
ba_polar_cov_joint,60.0,0,False,False,65.08623593962723,0.2800000000000001,0.8061622118430829,nan,24.005535552779147,0.28000954354851915,23.995549842565016,17.66082408951607,1.592126415680944,0.7131153990951218,0.6977233654933375,0.7095954143152942,77561.64855347993,120
ba_polar_staged,60.0,0,False,True,65.08623593962723,0.2800000000000001,0.8061622118430829,1.445269518616285,1.4249245225756224,0.2798204927104135,1.4601474465187987,0.9010987125001803,1.468418788018204,0.18026403792144002,0.2755252800976209,0.1720484620269438,19608.04748519104,118
ba_uv_joint,60.0,1,False,False,68.91279380837543,0.28,0.6439126591492332,nan,68.90543382161026,0.28003645863004084,23.995226824743686,59.996275784338636,6.338335360833403,4.355164923605514,6.1173395393552,4.406400137602344,175933.3243736103,120
ba_polar_plain_joint,60.0,1,False,False,68.91279380837543,0.28,0.6439126591492332,nan,68.8999881166006,0.2800404841979925,23.999520740121554,59.998663091438516,5.141376510100905,3.9158526584396087,4.758784212353146,3.875135814124075,59176.90855425883,120
ba_polar_cov_joint,60.0,1,False,False,68.91279380837543,0.28,0.6439126591492332,nan,68.88122671002304,0.28003766423064275,23.996874032187446,59.9888026203348,5.3081468425088785,3.6607695847246107,4.953717239623157,3.672279357113974,196619.57875756404,120
ba_polar_staged,60.0,1,False,True,68.91279380837543,0.28,0.6439126591492332,1.4893417503369275,1.3323505831562918,0.2779459840181351,1.3327086080475319,0.47952351364930346,1.4905799732385947,0.1548140566130886,0.38198937395570365,0.14898282617667633,18311.029424885597,117
ba_uv_joint,60.0,2,False,False,68.36069147028992,0.27999999999999997,0.5654719737667914,nan,64.44749527053938,0.2800788610291317,29.068116459548587,59.96483679236558,2.2139082036973683,0.7816723832588023,1.7653855456660656,0.7890791805838236,81343.04056331523,120
ba_polar_plain_joint,60.0,2,False,False,68.36069147028992,0.27999999999999997,0.5654719737667914,nan,68.32425755761483,0.2800022540588655,23.999832377144244,59.99170397873357,4.766031544484087,1.66133778070498,4.33896577283131,1.225815734904796,75200.06793619537,120
ba_polar_cov_joint,60.0,2,False,False,68.36069147028992,0.27999999999999997,0.5654719737667914,nan,32.102595815172066,0.2799983468196296,23.99970352048277,21.193087254785226,1.8732365833996274,0.6725704605508804,1.8455539946341046,0.6783006883010787,85868.59257567872,120
ba_polar_staged,60.0,2,False,True,68.36069147028992,0.27999999999999997,0.5654719737667914,1.94243138494306,1.9462158030900436,0.2799715834279733,1.2988377394109283,1.483898720919021,1.5872559674735054,0.13230730727611495,0.19899907808178724,0.12165039848311676,18533.359185512913,116
ba_uv_joint,60.0,3,False,False,62.67605567543793,0.28,0.742155902668577,nan,62.64895541783306,0.2800367903574497,24.10539895054799,59.97376625444671,5.039755570257125,3.768655286084411,4.830987751460184,3.866063321183108,141116.83939170858,120
ba_polar_plain_joint,60.0,3,False,False,62.67605567543793,0.28,0.742155902668577,nan,62.67165679839427,0.2801279803704729,23.994473739317066,59.99685098025565,4.345609623539018,0.9985283189352632,3.5508577825284786,0.8890330722153457,62650.81915268097,120
ba_polar_cov_joint,60.0,3,False,False,62.67605567543793,0.28,0.742155902668577,nan,62.66299030127209,0.28007296722194513,23.995844431205573,59.98693961634628,4.309613273036564,2.781423763141729,4.1002057625120525,2.7313060695294746,104525.38591812304,120
